Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
Global_intercept, -2.12595055433, 1.04852168326, 0.0878232185585, -4.1767230025, -0.0889647885785, -4.40738535546, -2.75167222321, -2.09990160582, -1.40427520016, -0.264076709106
Hard_coral, -0.0416791583197, 0.0567440460498, 0.000778096348847, -0.158421914945, 0.0691766612263, -0.158415656478, -0.072057973433, -0.0406796737232, -0.0100477140918, 0.0692033781127
Length, 0.121923869256, 0.0290271765458, 0.00265351621205, 0.0657069471696, 0.177811441365, 0.0719681550482, 0.101008315575, 0.121353363138, 0.138813166377, 0.188699757583
Night, -0.651831834591, 0.243142690968, 0.00635297258231, -1.11164299388, -0.169563844354, -1.12159679622, -0.816430711253, -0.651632539787, -0.485908864956, -0.17706421486
Tag, 0.283665224354, 0.247083606019, 0.00883342667447, -0.214958182558, 0.757704013124, -0.207567746465, 0.119271899784, 0.285571488469, 0.448458580008, 0.767411057736
Team_0, -0.140119680232, 0.246600916713, 0.00744051360191, -0.604731335933, 0.349128227293, -0.617544815981, -0.307500673763, -0.143159279046, 0.0278257355918, 0.339006939409
Team_1, 0.172300098375, 0.271192516349, 0.00780282630479, -0.359503479178, 0.694541313726, -0.351007706383, -0.0125288880631, 0.168774527299, 0.353667795925, 0.706306671434
Site_0, -2.44360943569, 0.886991335782, 0.080727474053, -4.13457045666, -0.670172373925, -4.44483897328, -2.94853414236, -2.40670286416, -1.84476679659, -0.857256374321
Site_1, -1.24967604467, 0.937782079292, 0.081369736962, -3.00223048874, 0.65015266044, -3.23075559844, -1.83343706152, -1.24653003995, -0.606268157364, 0.506721411514
Site_2, -2.15155083446, 1.02635195919, 0.0920415135241, -4.23767086148, -0.198641946913, -4.42070546959, -2.803324141, -2.11138811531, -1.44133366474, -0.319448030117
Site_3, -2.98520169465, 0.929450416646, 0.0854361987912, -4.83488016518, -1.20193530407, -5.14578146216, -3.52542644489, -2.94634351681, -2.35922729211, -1.33634402358
Site_4, -2.02201485659, 1.05954931989, 0.0935116641273, -4.11758387002, -0.00872243625065, -4.34517208127, -2.66150085862, -1.97729854877, -1.28697459553, -0.115954767921
Site_5, -2.09114460053, 0.941962750249, 0.0844300305147, -3.89759384829, -0.154954885413, -4.24230047787, -2.66902900186, -2.03671135763, -1.46160853255, -0.363815828195
Site_6, -1.30470117126, 1.13357024421, 0.0953278822856, -3.6957893299, 0.799000030724, -3.614331101, -2.0356626875, -1.28451659508, -0.542963667451, 0.89839422139
Site_7, -3.78331769545, 1.09606189132, 0.100169276534, -5.82412560506, -1.60674103697, -6.3486879749, -4.4297102663, -3.74976919683, -3.05078322083, -1.84230576889
mu_detection, 0.826022342231, 0.0249240529851, 0.000995281269193, 0.775874042211, 0.873814576761, 0.775308751854, 0.809528323609, 0.826457752557, 0.843128836761, 0.87340063406
Shape, 0.331142885821, 0.0624109479, 0.00124006643508, 0.20587244429, 0.453312282768, 0.205959802196, 0.293281945493, 0.331566343895, 0.369018874021, 0.453543395213
Bfmp, -0.00391460102816, 0.00157599975388, 5.30784894993e-05, -0.00689840542518, -0.000779478817225, -0.00678205607849, -0.00502234411011, -0.00398343076185, -0.0028989929699, -0.000622001326246
